Level and Distortion,
Left-Left(Total),
X,Y
Hz,dBSPL
8111.11111111111,22.8941058534828
8125,22.1536315070058
8138.88888888889,18.8805051973869
8152.77777777778,15.5477650487315
8166.66666666667,16.6429801342483
8180.55555555556,17.1073578030026
8194.44444444445,13.755020290463
8208.33333333333,14.6656510989543
8222.22222222222,18.681463014706
8236.11111111111,18.5958304571212
8250,12.0298941076335
8263.88888888889,11.4711212447755
8277.77777777778,13.5549153136614
8291.66666666667,14.0409979326937
8305.55555555556,13.3999654276529
8319.44444444445,14.0875015087157
8333.33333333333,15.5962975182522
8347.22222222222,13.9128647413925
8361.11111111111,13.3648360833978
8375,9.62063273098003
8388.88888888889,9.93730421112866
8402.77777777778,14.0444735937383
8416.66666666667,18.2857854876994
8430.55555555556,18.3659279266784
8444.44444444445,14.1348625960647
8458.33333333333,16.0181548003911
8472.22222222222,16.0216794774455
8486.11111111111,15.206412874866
8500,16.015313711741
8513.88888888889,15.6506006543135
8527.77777777778,16.3025417381699
8541.66666666667,17.7885225601818
8555.55555555556,18.3938931214465
8569.44444444445,15.8521500087318
8583.33333333333,13.3418376391125
8597.22222222222,15.19740230608
8611.11111111111,15.5739510222561
8625,15.3226659283146
8638.88888888889,15.3182500456945
8652.77777777778,15.6473692784009
8666.66666666667,14.6404199820456
8680.55555555556,16.7992819591107
8694.44444444445,18.9171124923226
8708.33333333333,16.7170010778352
8722.22222222222,13.2043625531483
8736.11111111111,15.1842451863347
8750,17.6729571240677
8763.88888888889,15.353279809478
8777.77777777778,8.92003648267427
8791.66666666667,16.93843063689
8805.55555555556,17.7728520243993
8819.44444444445,15.5458224558339
8833.33333333333,14.8738229377132
8847.22222222222,15.0612825572665
8861.11111111111,12.3100576332132
8875,9.52990438354422
8888.88888888889,14.2548277295186
8902.77777777778,16.0286636290867
8916.66666666667,16.2980920857534
8930.55555555556,14.9455646050279
8944.44444444445,13.8259084215154
8958.33333333333,9.49065609250658
8972.22222222222,6.73347465765981
8986.11111111111,13.4357150612964
9000,11.3038288985612
9013.88888888889,11.4514142031984
9027.77777777778,12.6915628795485
9041.66666666667,9.48375990707756
9055.55555555556,11.2052037171266
9069.44444444445,13.0938254584958
9083.33333333333,14.888675325327
9097.22222222222,13.9827840058894
9111.11111111111,16.2001136733048
9125,18.9210963399081
9138.88888888889,16.1076473743573
9152.77777777778,10.7965531902301
9166.66666666667,12.1815100744855
9180.55555555556,11.603318247659
9194.44444444445,10.762945569452
9208.33333333333,10.8460946562335
