Level and Distortion,,,
Left-Left(Total),,Right-Left(Total),
X,Y,X,Y
Hz,dBSPL,Hz,dBSPL
4361.11111111111,17.3160327056439,4361.11111111111,21.2674462910315
4375,15.7943839920941,4375,21.6869717059129
4388.88888888889,14.9821054012316,4388.88888888889,21.3045026368682
4402.77777777778,14.103508465309,4402.77777777778,17.7539121986985
4416.66666666667,14.2305493127462,4416.66666666667,14.7807492252442
4430.55555555556,15.0980292771682,4430.55555555556,18.2337460135045
4444.44444444444,16.5466719542841,4444.44444444444,21.936964048939
4458.33333333333,16.1079221405481,4458.33333333333,23.5248397295826
4472.22222222222,14.786877479119,4472.22222222222,23.7308896920332
4486.11111111111,16.0441981919911,4486.11111111111,21.8601633698281
4500,16.5575698893716,4500,20.8380580920076
4513.88888888889,17.3368409305812,4513.88888888889,20.629101943619
4527.77777777778,17.6624451791202,4527.77777777778,18.73124245263
4541.66666666667,16.0739297468715,4541.66666666667,19.9740812682167
4555.55555555556,16.0083753613176,4555.55555555556,18.876330582097
4569.44444444444,18.0130133792893,4569.44444444444,13.9654961017874
4583.33333333333,17.5716541907971,4583.33333333333,16.235346248584
4597.22222222222,17.3918931143383,4597.22222222222,18.5819537731904
4611.11111111111,17.6733810709746,4611.11111111111,17.0244097643512
4625,16.1057618543443,4625,19.5218552832578
4638.88888888889,16.298148036796,4638.88888888889,22.383673780016
4652.77777777778,16.5850228310363,4652.77777777778,21.3360779844795
4666.66666666667,15.7915703323959,4666.66666666667,19.6853982848872
4680.55555555556,15.8959932483434,4680.55555555556,22.71258559677
4694.44444444444,17.9450164912196,4694.44444444444,23.3760254979929
4708.33333333333,18.0043428622074,4708.33333333333,22.3130484223124
4722.22222222222,15.6723629622089,4722.22222222222,21.707547819655
4736.11111111111,16.7307006088149,4736.11111111111,21.1421955180513
4750,17.1985348663457,4750,22.5852968363788
4763.88888888889,15.1472072608974,4763.88888888889,21.6674201900588
4777.77777777778,16.3871823736001,4777.77777777778,21.0841714626432
4791.66666666667,17.3011393804463,4791.66666666667,22.3891984126002
4805.55555555556,15.3706563390694,4805.55555555556,21.0833849336401
4819.44444444444,15.0918620040474,4819.44444444444,19.6886892227975
4833.33333333333,15.8181124128539,4833.33333333333,19.7138877154023
4847.22222222222,16.4547535719032,4847.22222222222,19.8059458415175
4861.11111111111,17.19326868371,4861.11111111111,19.7573457361676
4875,16.2774432351462,4875,19.4057388499403
4888.88888888889,14.3806459254955,4888.88888888889,18.5465353368024
4902.77777777778,13.110910879981,4902.77777777778,19.5442998986437
4916.66666666667,16.1486060506076,4916.66666666667,20.9761863371787
4930.55555555556,17.117270749547,4930.55555555556,21.5807069178236
4944.44444444444,16.6183444816599,4944.44444444444,22.3049852601402
4958.33333333333,14.6677983634795,4958.33333333333,21.211127929183
4972.22222222222,13.9089017597025,4972.22222222222,17.4987290098878
4986.11111111111,16.3724226234741,4986.11111111111,19.4286896790167
5000,14.9163860382166,5000,20.579076131693
5013.88888888889,15.6920549753735,5013.88888888889,19.5946223247278
5027.77777777778,15.9368543134734,5027.77777777778,20.9831061943169
5041.66666666667,14.4678651627817,5041.66666666667,21.3712613413807
5055.55555555556,15.5885548605714,5055.55555555556,20.1751572160552
5069.44444444444,15.5986419818657,5069.44444444444,17.6197392141691
5083.33333333333,15.7288686716577,5083.33333333333,16.9511833264744
5097.22222222222,14.0117196500808,5097.22222222222,20.2480654798284
5111.11111111111,12.7141697448349,5111.11111111111,22.9129139204173
5125,14.6908284258899,5125,22.1491672573291
5138.88888888889,17.1682614044686,5138.88888888889,19.4566875049551
5152.77777777778,18.6294973995412,5152.77777777778,21.5688620291464
5166.66666666667,16.9699974195849,5166.66666666667,22.7815130436467
5180.55555555556,14.4627398169738,5180.55555555556,22.8752790039403
5194.44444444444,14.1581246745141,5194.44444444444,22.7856365806156
5208.33333333333,13.2455856313058,5208.33333333333,20.1328128903281
5222.22222222222,15.7554224502407,5222.22222222222,17.785307577948
5236.11111111111,16.6971421555826,5236.11111111111,20.0806781288405
5250,14.6810230011056,5250,20.5495491304438
5263.88888888889,12.7919878315541,5263.88888888889,20.6475477028428
5277.77777777778,14.6488641278703,5277.77777777778,20.7672695249086
5291.66666666667,17.5961015346742,5291.66666666667,19.2169931358649
5305.55555555556,18.1242734557976,5305.55555555556,16.3228450435908
5319.44444444444,17.6181958531637,5319.44444444444,20.504382631471
5333.33333333333,17.8426346679308,5333.33333333333,22.6438019797574
5347.22222222222,18.50034234693,5347.22222222222,21.0046718882963
5361.11111111111,17.3422003537636,5361.11111111111,21.0948111351439
5375,14.7070317827365,5375,22.3506696599658
5388.88888888889,16.5796574548017,5388.88888888889,22.5820370307377
5402.77777777778,17.4443584069016,5402.77777777778,22.9700276227375
5416.66666666667,17.6020211628755,5416.66666666667,20.8727077737169
5430.55555555556,17.9231484475147,5430.55555555556,16.8943437515186
5444.44444444444,15.9501737017121,5444.44444444444,22.2081359545857
5458.33333333333,13.3735601059166,5458.33333333333,23.9492698206179
5472.22222222222,13.747322441623,5472.22222222222,23.5987157579054
5486.11111111111,16.6762464059871,5486.11111111111,22.7765797751588
5500,17.2626931951916,5500,20.0128478597086
5513.88888888889,15.5546055869684,5513.88888888889,20.018987898049
5527.77777777778,16.490891495556,5527.77777777778,18.7794204910907
5541.66666666667,16.2021019406657,5541.66666666667,18.4206238126149
5555.55555555556,15.6217938183237,5555.55555555556,19.9475345982317
5569.44444444444,18.0388158912784,5569.44444444444,17.6540887516157
5583.33333333333,17.7617092637391,5583.33333333333,15.7181973265073
5597.22222222222,16.0019250373157,5597.22222222222,18.4961541497241
5611.11111111111,15.4528589561577,5611.11111111111,20.8140365272056
5625,16.3510395091496,5625,19.8023753706639
5638.88888888889,17.7101074895962,5638.88888888889,18.7449604718658
5652.77777777778,15.223549989909,5652.77777777778,18.2938870217647
5666.66666666667,17.0787613556149,5666.66666666667,20.5433183071989
5680.55555555556,19.1808664969449,5680.55555555556,23.7383437849504
5694.44444444444,17.18326696309,5694.44444444444,22.182456006086
5708.33333333333,16.5582470397987,5708.33333333333,19.506908473694
5722.22222222222,16.6617299532401,5722.22222222222,21.2285362836942
5736.11111111111,14.7715786443516,5736.11111111111,22.0072236228553
5750,13.2933113934641,5750,21.8079639550228
5763.88888888889,18.2103274427916,5763.88888888889,20.0658670396001
5777.77777777778,19.7503482516172,5777.77777777778,20.6585590297985
5791.66666666667,15.481926175804,5791.66666666667,19.6034120288488
5805.55555555556,14.7312906230311,5805.55555555556,20.0867726569313
5819.44444444444,17.5034893984574,5819.44444444444,22.0188714196755
5833.33333333333,17.2283409177125,5833.33333333333,19.5460611619075
5847.22222222222,16.3914341766109,5847.22222222222,17.6449456173889
5861.11111111111,14.4735200907732,5861.11111111111,18.224709541944
5875,16.9978862045136,5875,21.6736293557854
5888.88888888889,17.2404048305235,5888.88888888889,22.7618824550505
5902.77777777778,13.5684937858792,5902.77777777778,20.179531308647
5916.66666666667,14.5318402821033,5916.66666666667,19.5860265516269
5930.55555555556,15.4604217259683,5930.55555555556,19.7482995645764
5944.44444444444,16.7881113017182,5944.44444444444,19.9759890585746
5958.33333333333,18.6608863032627,5958.33333333333,21.1769002288774
5972.22222222222,18.1458334263969,5972.22222222222,21.8550172212894
5986.11111111111,15.6732804226466,5986.11111111111,21.9270025667663
6000,13.1317231959426,6000,20.214584939866
6013.88888888889,13.5785645786269,6013.88888888889,18.0510045606142
6027.77777777778,13.6215353234628,6027.77777777778,19.348115767778
6041.66666666667,10.695576856926,6041.66666666667,20.5460030312081
6055.55555555556,14.3006579897498,6055.55555555556,21.1243983230737
6069.44444444444,18.1805974810114,6069.44444444444,20.930346751062
6083.33333333333,18.8256147079036,6083.33333333333,16.502017189374
6097.22222222222,17.2504545641138,6097.22222222222,15.6121332394669
6111.11111111111,15.744271592882,6111.11111111111,21.4327769782004
6125,15.6733654637195,6125,22.7356178998464
6138.88888888889,14.5100105377293,6138.88888888889,21.9224525024669
6152.77777777778,15.7757234611301,6152.77777777778,21.4622724093898
6166.66666666667,17.3942554831486,6166.66666666667,21.6429433297031
6180.55555555556,14.9887898025156,6180.55555555556,21.3306240889792
6194.44444444444,12.334953813003,6194.44444444444,22.4692412195119
6208.33333333333,14.5814400782173,6208.33333333333,22.7412124532214
6222.22222222222,12.4046799100199,6222.22222222222,20.5416473801314
6236.11111111111,13.8459914436656,6236.11111111111,19.6292660054309
6250,16.560220750752,6250,19.6952308569615
6263.88888888889,13.4558269827949,6263.88888888889,16.0749130872265
6277.77777777778,13.8701257673659,6277.77777777778,20.6853324829772
6291.66666666667,17.0178145094929,6291.66666666667,23.5027303095127
6305.55555555556,16.6123142804075,6305.55555555556,22.1854970252134
