L-R-Diff Raw,
L-R-Diff Left,
X,Y
Hz,dB
3229.166667,0
3232.638889,0
3236.111111,0
3239.583333,0
3243.055556,0
3246.527778,0
3250,0
3253.472222,0
3256.944444,0
3260.416667,0
3263.888889,0
3267.361111,0
3270.833333,0
3274.305556,0
3277.777778,0
3281.25,0
3284.722222,0
3288.194444,0
3291.666667,0
3295.138889,0
3298.611111,0
3302.083333,0
3305.555556,0
3309.027778,0
3312.5,0
3315.972222,0
3319.444444,0
3322.916667,0
3326.388889,0
3329.861111,0
3333.333333,0
3336.805556,0
3340.277778,0
3343.75,0
3347.222222,0
3350.694444,0
3354.166667,0
3357.638889,0
3361.111111,0
3364.583333,0
3368.055556,0
3371.527778,0
3375,0
3378.472222,0
3381.944444,0
3385.416667,0
3388.888889,0
3392.361111,0
3395.833333,0
3399.305556,0
3402.777778,0
3406.25,0
3409.722222,0
3413.194444,0
3416.666667,0
3420.138889,0
3423.611111,0
3427.083333,0
3430.555556,0
3434.027778,0
3437.5,0
3440.972222,0
3444.444444,0
3447.916667,0
3451.388889,0
3454.861111,0
3458.333333,0
3461.805556,0
3465.277778,0
3468.75,0
3472.222222,0
3475.694444,0
3479.166667,0
3482.638889,0
3486.111111,0
3489.583333,0
3493.055556,0
3496.527778,0
3500,0
3503.472222,0
3506.944444,0
3510.416667,0
3513.888889,0
3517.361111,0
3520.833333,0
3524.305556,0
3527.777778,0
3531.25,0
3534.722222,0
3538.194444,0
3541.666667,0
3545.138889,0
3548.611111,0
3552.083333,0
3555.555556,0
3559.027778,0
3562.5,0
3565.972222,0
3569.444444,0
3572.916667,0
3576.388889,0
3579.861111,0
3583.333333,0
3586.805556,0
3590.277778,0
3593.75,0
3597.222222,0
3600.694444,0
3604.166667,0
3607.638889,0
3611.111111,0
3614.583333,0
3618.055556,0
3621.527778,0
3625,0
3628.472222,0
3631.944444,0
3635.416667,0
3638.888889,0
3642.361111,0
3645.833333,0
3649.305556,0
3652.777778,0
3656.25,0
3659.722222,0
3663.194444,0
3666.666667,0
3670.138889,0
3673.611111,0
3677.083333,0
3680.555556,0
3684.027778,0
3687.5,0
3690.972222,0
3694.444444,0
3697.916667,0
3701.388889,0
3704.861111,0
3708.333333,0
3711.805556,0
3715.277778,0
3718.75,0
3722.222222,0
3725.694444,0
3729.166667,0
3732.638889,0
3736.111111,0
3739.583333,0
3743.055556,0
3746.527778,0
3750,0
3753.472222,0
3756.944444,0
3760.416667,0
3763.888889,0
3767.361111,0
3770.833333,0
3774.305556,0
3777.777778,0
3781.25,0
3784.722222,0
3788.194444,0
